source,nct_id,brief_title,overall_status,start_date,study_type,conditions
ClinicalTrials.gov API,NCT05284227,Artificial Intelligence-augmented Perioperative Clinical Decision Support,COMPLETED,2023-04-26,INTERVENTIONAL,ASA Class III/IV Patients; Surgery; Clinical Decision Support Systems
ClinicalTrials.gov API,NCT04220242,Future of Colorectal Cancer Surgery,UNKNOWN,2019-12-30,OBSERVATIONAL,Colorectal Cancer; Surgery
ClinicalTrials.gov API,NCT06908603,Use of Artificial Intelligence in Oral Radiology: A Multicenter Cross-Sectional Study in Egypt,COMPLETED,2024-03-13,OBSERVATIONAL,Knowledge of AI Applications in Dental Imaging
ClinicalTrials.gov API,NCT05929105,AI-assisted Preoperative Planning Technology for THA for DDH,COMPLETED,2020-01-04,OBSERVATIONAL,Developmental Dysplasia of the Hip
ClinicalTrials.gov API,NCT06486467,Reliability of Minimally Trained Operator's Velocity-Time Integral Measurement Guided by Artificial Intelligence VTI,RECRUITING,2024-11-14,INTERVENTIONAL,Velocity-time Integral Measurement; Critically Ill Patients; Tissue Hypoperfusion
ClinicalTrials.gov API,NCT05624736,Hierarchical Diagnosis for Adult Diffuse Glioma Based on Deep Learning,UNKNOWN,2022-11-20,OBSERVATIONAL,Astrocytoma; Glioblastoma Multiforme; Oligodendroglioma
ClinicalTrials.gov API,NCT07186205,A Study to Collect Data to Build Artificial Intelligence Derived Algorithms for Estimating Risk of Iron Deficiency and Anaemia in African Children,COMPLETED,2025-10-13,OBSERVATIONAL,Iron Deficiencies
ClinicalTrials.gov API,NCT06907927,Using Artificial Intelligence to Improve Radiologists' Performance in Radiology Report Writing: a Randomised Controlled Trial,RECRUITING,2025-04-01,INTERVENTIONAL,Healthy
ClinicalTrials.gov API,NCT05678569,OsteoPorosis Treatment Identification Using Machine Learning,UNKNOWN,2023-02,OBSERVATIONAL,Osteoporosis Risk; Osteoporosis
ClinicalTrials.gov API,NCT04834934,Artificial Intelligence - SARS-CoV-2 (COVID-19) Risk Evaluation,COMPLETED,2020-02-16,OBSERVATIONAL,Covid19
ClinicalTrials.gov API,NCT04657367,Polish Registry of Diabetes (PolReD),RECRUITING,2020-02-03,OBSERVATIONAL,Diabetes; Obesity; PreDiabetes; Dysglycemia
ClinicalTrials.gov API,NCT07234929,Effectiveness of Chat-based Mobile Application for Consultation (Zalo) in Improving Compliance With Follow-up Tests After Abnormal Chest X-ray Findings Interpret by Artificial Intelligent,NOT_YET_RECRUITING,2025-11-15,INTERVENTIONAL,Lung Cancer; Tuberculosis (TB); Chat-based Mobile Application; Compliance Behavior; Artificial Intelligence in Radiology
ClinicalTrials.gov API,NCT07189520,1. SAFE-AI ONCO-TRACK: Multimodal GenAI for Early Detection of Minimal Residual Disease and Recurrence in Gastrointestinal Oncology,NOT_YET_RECRUITING,2026-06-01,OBSERVATIONAL,Rectal Cancer
