source,source_file,frame,year,row_index,topic,measure_name,numeric_value
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_11,3471.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_12,5083688084.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_13,26503963522.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_14,35377554.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,7,2019 | 33077390 | 33183924 | 1149496275 | 34.64 | 34.75 | 149116675167.2595 | 4494 | 4508 | 114812534256.0973 | 3460 | 3471 | 5083688084 | 26503963522 | 35377554 | 62,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_15,62.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_0,2020.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_1,32245820.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_2,32163113.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_3,1009019356.0
CMS Program Statistics Physician Supplier,MDCR PHYSSUPP_CPS10UPS_2023.xlsx,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS,2026,8,2020 | 32245820 | 32163113 | 1009019356 | 31.37 | 31.29 | 136453305358.0426 | 4243 | 4232 | 106549055576.0313 | 3313 | 3304 | 5158298533 | 23788552613 | 24396595 | 56,MDCR PHYSSUPP_CPS10UPS_2023.xlsx::MDCR PHYSSUPP 1_CPS_10UPS::cell_4,31.37
